state,city,fatalities_count
CA,Los Angeles,39
AZ,Phoenix,31
TX,Houston,26
IL,Chicago,25
NV,Las Vegas,21
TX,San Antonio,20
FL,Miami,17
OH,Columbus,17
TX,Austin,16
MO,St. Louis,15
