manner_of_death,age,gender
shot,38.0,M
shot,21.0,M
shot,35.0,M
shot,58.0,M
shot,48.0,M
shot,31.0,M
shot,47.0,M
shot,34.0,M
shot,30.0,M
shot,28.0,M
shot,28.0,M
shot and Tasered,46.0,M
shot,40.0,M
shot,37.0,M
shot,53.0,M
shot,41.0,M
shot,42.0,M
shot,45.0,M
shot,34.0,M
shot,18.0,M
shot,27.0,M
shot,54.0,M
shot,35.0,M
shot,17.0,M
shot,29.0,M
shot and Tasered,52.0,M
shot,38.0,M
shot and Tasered,39.0,F
shot,26.0,M
shot,22.0,M
shot,29.0,M
shot,43.0,M
shot,24.0,M
shot,32.0,M
shot,40.0,M
shot,25.0,M
shot,47.0,M
shot,40.0,M
shot,31.0,F
shot,36.0,M
shot,62.0,M
shot,51.0,M
shot,24.0,M
shot,39.0,M
shot,24.0,M
shot,57.0,M
shot and Tasered,20.0,M
shot and Tasered,33.0,M
shot,60.0,M
shot,32.0,M
shot,40.0,M
shot and Tasered,18.0,M
shot,36.0,M
shot,35.0,M
shot,55.0,M
shot,19.0,M
shot,39.0,M
shot,40.0,M
shot,47.0,M
shot,23.0,M
shot,26.0,M
shot,26.0,M
shot,46.0,M
shot and Tasered,36.0,M
shot,18.0,M
shot,33.0,M
shot,56.0,M
shot,50.0,M
shot,45.0,F
shot and Tasered,30.0,M
shot,53.0,M
shot,45.0,M
shot,42.0,M
shot,27.0,M
shot,36.0,M
shot,58.0,M
shot,54.0,M
shot,30.0,M
shot,69.0,M
shot,30.0,M
shot,45.0,M
shot,22.0,M
shot,28.0,M
shot,19.0,M
shot,40.0,M
shot,86.0,M
shot,46.0,M
shot,28.0,M
shot,22.0,M
shot,17.0,F
shot,46.0,M
shot,35.0,M
shot,35.0,M
shot,28.0,M
shot,15.0,M
shot,22.0,M
shot,28.0,M
shot,31.0,M
shot,40.0,F
shot,48.0,M
shot,58.0,M
shot,44.0,M
shot,21.0,M
shot,50.0,M
shot,23.0,M
shot,24.0,M
shot,49.0,M
shot,60.0,M
shot,35.0,M
shot,29.0,M
shot,20.0,M
shot,34.0,M
shot,22.0,M
shot,49.0,M
shot,32.0,M
shot,26.0,M
shot,41.0,M
shot,61.0,M
shot,49.0,M
shot,28.0,M
shot,35.0,M
shot,29.0,M
shot,51.0,M
shot,52.0,M
shot,24.0,M
shot,32.0,M
shot,45.0,M
shot,60.0,M
shot,23.0,M
shot,59.0,M
shot and Tasered,27.0,M
shot,46.0,M
shot,33.0,M
shot,40.0,M
shot,42.0,M
shot,37.0,M
shot,23.0,M
shot,36.0,M
shot,19.0,M
shot,35.0,M
shot and Tasered,25.0,M
shot,43.0,M
shot,20.0,M
shot,42.0,M
shot and Tasered,42.0,M
shot and Tasered,31.0,M
shot,29.0,M
shot,18.0,M
shot,33.0,M
shot,59.0,M
shot,47.0,M
shot,39.0,M
shot,37.0,M
shot,35.0,M
shot,28.0,M
shot,59.0,M
shot,62.0,M
shot,50.0,M
shot,68.0,M
shot,27.0,M
shot,17.0,M
shot and Tasered,38.0,M
shot,21.0,M
shot,54.0,M
shot,20.0,M
shot,25.0,M
shot,31.0,M
shot,35.0,M
shot and Tasered,36.0,M
shot,60.0,M
shot,24.0,M
shot,27.0,M
shot,20.0,M
shot,24.0,M
shot,23.0,M
shot and Tasered,41.0,M
shot,20.0,M
shot,76.0,M
shot and Tasered,43.0,M
shot and Tasered,25.0,M
shot,29.0,M
shot,35.0,M
shot,30.0,M
shot,24.0,M
shot,23.0,M
shot,29.0,M
shot,27.0,M
shot and Tasered,23.0,M
shot,50.0,M
shot,19.0,M
shot,24.0,M
shot,22.0,M
shot,46.0,M
shot,65.0,M
shot,43.0,M
shot,35.0,M
shot,54.0,M
shot,47.0,M
shot,24.0,M
shot,35.0,M
shot,25.0,M
shot and Tasered,26.0,M
shot,27.0,M
shot,34.0,M
shot and Tasered,31.0,M
shot,32.0,M
shot,47.0,M
shot,44.0,F
shot,44.0,M
shot and Tasered,30.0,M
shot,60.0,M
shot,50.0,M
shot,36.0,M
shot,59.0,M
shot,33.0,M
shot,19.0,M
shot,56.0,M
shot,45.0,M
shot and Tasered,22.0,M
shot,41.0,M
shot,34.0,M
shot,53.0,M
shot,48.0,M
shot,25.0,M
shot,30.0,M
shot and Tasered,47.0,M
shot,33.0,M
shot,34.0,M
shot,52.0,M
shot,29.0,M
shot,63.0,M
shot,49.0,M
shot,18.0,M
shot,71.0,M
shot,35.0,M
shot,55.0,M
shot,31.0,M
shot,18.0,M
shot,51.0,M
shot,39.0,M
shot,20.0,M
shot,29.0,M
shot,40.0,M
shot,42.0,M
shot,22.0,M
shot,19.0,M
shot,24.0,M
shot,30.0,M
shot,53.0,M
shot,25.0,M
shot,28.0,M
shot,33.0,M
shot,24.0,M
shot,59.0,M
shot,46.0,M
shot,15.0,M
shot,41.0,M
shot,77.0,M
shot,22.0,M
shot,24.0,M
shot,34.0,M
shot and Tasered,48.0,M
shot,24.0,M
shot,27.0,M
shot and Tasered,30.0,F
shot,27.0,M
shot,27.0,M
shot,49.0,M
shot,38.0,M
shot,26.0,M
shot,30.0,M
shot and Tasered,53.0,M
shot and Tasered,43.0,M
shot,23.0,M
shot,34.0,M
shot,30.0,M
shot,29.0,M
shot,47.0,M
shot,35.0,M
shot,40.0,M
shot,18.0,M
shot,24.0,M
shot,29.0,M
shot,44.0,M
shot,19.0,M
shot and Tasered,50.0,M
shot,17.0,M
shot,57.0,M
shot,30.0,M
shot,38.0,M
shot,31.0,M
shot and Tasered,39.0,M
shot,29.0,M
shot,26.0,M
shot,64.0,M
shot,36.0,M
shot,36.0,M
shot,21.0,M
shot,53.0,M
shot,57.0,M
shot,30.0,M
shot,34.0,M
shot,53.0,M
shot,45.0,M
shot,22.0,M
shot,22.0,M
shot,46.0,M
shot,27.0,M
shot and Tasered,42.0,M
shot,30.0,M
shot,54.0,M
shot,29.0,M
shot,41.0,M
shot,28.0,M
shot,61.0,M
shot,23.0,M
shot,25.0,M
shot,,M
shot,29.0,M
shot,20.0,M
shot,40.0,M
shot,45.0,M
shot,33.0,M
shot,76.0,M
shot,47.0,M
shot,45.0,M
shot,40.0,M
shot,37.0,M
shot and Tasered,49.0,M
shot,27.0,M
shot,36.0,M
shot,23.0,M
shot,21.0,M
shot,32.0,M
shot,35.0,M
shot,28.0,F
shot,59.0,M
shot,28.0,M
shot,45.0,M
shot,45.0,M
shot,19.0,M
shot,25.0,M
shot,37.0,M
shot,33.0,M
shot,59.0,M
shot,31.0,M
shot,35.0,M
shot,29.0,M
shot,32.0,M
shot,41.0,M
shot,31.0,M
shot,44.0,M
shot,23.0,M
shot,45.0,M
shot,39.0,M
shot,67.0,M
shot,29.0,M
shot,25.0,M
shot,28.0,M
shot,21.0,M
shot,32.0,M
shot,51.0,M
shot,39.0,M
shot,27.0,M
shot,31.0,M
shot,50.0,M
shot,,M
shot,32.0,M
shot,47.0,M
shot,46.0,M
shot,57.0,M
shot,23.0,M
shot,56.0,M
shot,24.0,M
shot,27.0,M
shot,23.0,F
shot and Tasered,21.0,M
shot,26.0,M
shot,34.0,M
shot,32.0,M
shot,33.0,M
shot,55.0,M
shot,26.0,M
shot,48.0,M
shot,35.0,M
shot,19.0,M
shot,45.0,M
shot,28.0,M
shot,42.0,M
shot,17.0,M
shot,30.0,M
shot,21.0,M
shot and Tasered,33.0,M
shot,45.0,M
shot,46.0,M
shot,23.0,M
shot,37.0,F
shot,43.0,M
shot,40.0,M
shot and Tasered,31.0,M
shot,59.0,M
shot,46.0,M
shot,37.0,M
shot,28.0,M
shot,28.0,M
shot and Tasered,26.0,M
shot,55.0,F
shot,29.0,M
shot,45.0,M
shot,27.0,M
shot,31.0,M
shot,51.0,M
shot,50.0,M
shot,27.0,M
shot,18.0,M
shot,39.0,M
shot,46.0,M
shot,19.0,M
shot,62.0,F
shot,49.0,M
shot,31.0,M
shot,38.0,M
shot,40.0,M
shot and Tasered,35.0,M
shot,34.0,M
shot,44.0,M
shot,23.0,M
shot,43.0,M
shot,,M
shot,31.0,M
shot,27.0,M
shot,46.0,F
shot,18.0,M
shot,59.0,M
shot,57.0,M
shot,15.0,M
shot,25.0,M
shot,50.0,F
shot,31.0,M
shot,35.0,M
shot,27.0,M
shot,20.0,M
shot,27.0,M
shot,45.0,M
shot,33.0,M
shot,22.0,M
shot and Tasered,28.0,M
shot,31.0,M
shot,28.0,M
shot,53.0,M
shot,30.0,M
shot,39.0,M
shot,40.0,M
shot,30.0,M
shot,21.0,M
shot,35.0,M
shot,21.0,M
shot,47.0,M
shot,38.0,M
shot,36.0,M
shot,53.0,M
shot,,M
shot,34.0,M
shot,34.0,M
shot,30.0,M
shot,28.0,M
shot,47.0,M
shot,49.0,M
shot,36.0,M
shot,45.0,M
shot,21.0,F
shot,18.0,M
shot,25.0,M
shot,29.0,M
shot,57.0,M
shot,34.0,M
shot,35.0,M
shot,,M
shot,18.0,M
shot,62.0,M
shot,29.0,M
shot,25.0,M
shot and Tasered,30.0,M
shot,33.0,M
shot,56.0,M
shot,49.0,M
shot,20.0,M
shot,62.0,M
shot,62.0,M
shot,6.0,M
shot,30.0,M
shot,57.0,M
shot,18.0,M
shot,47.0,M
shot,48.0,M
shot,20.0,M
shot,30.0,M
shot,36.0,F
shot,51.0,M
shot,55.0,M
shot,48.0,M
shot,20.0,M
shot,25.0,M
shot,26.0,M
shot,45.0,M
shot and Tasered,35.0,M
shot,63.0,M
shot,34.0,M
shot,36.0,M
shot,22.0,M
shot,31.0,M
shot,25.0,M
shot,57.0,M
shot,32.0,M
shot,42.0,M
shot,52.0,M
shot,25.0,M
shot,25.0,M
shot,31.0,M
shot,39.0,M
shot and Tasered,32.0,M
shot,16.0,M
shot,24.0,M
shot,28.0,M
shot,25.0,M
shot,41.0,M
shot,28.0,M
shot,21.0,M
shot,30.0,M
shot,58.0,M
shot,47.0,M
shot,25.0,M
shot,44.0,M
shot,34.0,M
shot,27.0,M
shot,34.0,M
shot,39.0,M
shot,29.0,M
shot,24.0,M
shot,47.0,M
shot,45.0,M
shot,28.0,M
shot and Tasered,49.0,M
shot,50.0,M
shot,45.0,M
shot and Tasered,32.0,M
shot,24.0,M
shot,23.0,M
shot,52.0,M
shot,37.0,F
shot,26.0,M
shot,58.0,M
shot,50.0,M
shot,22.0,M
shot,53.0,M
shot,69.0,M
shot,23.0,M
shot,29.0,M
shot,25.0,M
shot,18.0,M
shot,31.0,M
shot,23.0,M
shot,18.0,M
shot,35.0,M
shot,27.0,F
shot,28.0,M
shot,26.0,M
shot,32.0,M
shot,36.0,M
shot,66.0,M
shot and Tasered,47.0,M
shot,21.0,M
shot,24.0,M
shot and Tasered,51.0,M
shot,60.0,M
shot,61.0,F
shot,38.0,M
shot,35.0,M
shot,46.0,M
shot,48.0,M
shot,36.0,M
shot,33.0,M
shot,66.0,M
shot,51.0,M
shot,34.0,M
shot,55.0,M
shot,54.0,M
shot,,M
shot,36.0,M
shot,25.0,M
shot,24.0,M
shot,28.0,M
shot,36.0,M
shot,20.0,M
shot,49.0,M
shot,,M
shot,51.0,F
shot,21.0,M
shot,30.0,M
shot,32.0,M
shot,33.0,M
shot and Tasered,52.0,M
shot,56.0,M
shot,48.0,F
shot,39.0,M
shot,19.0,M
shot,45.0,M
shot,33.0,M
shot,51.0,M
shot,,M
shot,25.0,M
shot,24.0,M
shot,22.0,F
shot,32.0,M
shot,58.0,M
shot,24.0,M
shot,26.0,M
shot,30.0,M
shot,31.0,M
shot,34.0,M
shot,48.0,M
shot,,M
shot,21.0,M
shot,39.0,M
shot,25.0,M
shot,30.0,M
shot,61.0,M
shot,56.0,M
shot,29.0,M
shot,19.0,M
shot,35.0,M
shot,36.0,M
shot,54.0,M
shot,24.0,M
shot,23.0,M
shot,18.0,M
shot,31.0,M
shot,41.0,M
shot,55.0,F
shot,19.0,M
shot,38.0,M
shot,36.0,M
shot,34.0,M
shot,52.0,M
shot,28.0,M
shot,50.0,F
shot,,M
shot,55.0,M
shot,39.0,M
shot,23.0,M
shot,30.0,M
shot and Tasered,37.0,M
shot,54.0,M
shot,37.0,M
shot,30.0,M
shot,27.0,M
shot,22.0,M
shot,29.0,M
shot,39.0,M
shot,33.0,M
shot,52.0,M
shot,28.0,M
shot and Tasered,54.0,M
shot,38.0,M
shot,32.0,M
shot,34.0,M
shot,26.0,M
shot,50.0,M
shot,37.0,M
shot,45.0,F
shot,56.0,M
shot,45.0,M
shot,32.0,M
shot,12.0,F
shot,49.0,M
shot,58.0,M
shot,29.0,M
shot,60.0,M
shot,40.0,M
shot,39.0,M
shot,26.0,M
shot,24.0,M
shot,34.0,M
shot,27.0,M
shot,44.0,M
shot,25.0,F
shot,55.0,M
shot,19.0,M
shot,52.0,M
shot and Tasered,24.0,M
shot and Tasered,38.0,M
shot,31.0,M
shot,26.0,M
shot,33.0,M
shot,28.0,M
shot,27.0,M
shot,39.0,M
shot,29.0,M
shot,36.0,M
shot,55.0,M
shot,28.0,M
shot,40.0,M
shot,33.0,M
shot,37.0,M
shot,39.0,M
shot,43.0,M
shot and Tasered,38.0,M
shot,55.0,M
shot,52.0,M
shot,32.0,M
shot,31.0,M
shot,27.0,M
shot,40.0,M
shot,31.0,F
shot,30.0,M
shot,26.0,M
shot,32.0,F
shot,33.0,M
shot,19.0,M
shot,33.0,M
shot,29.0,M
shot,41.0,F
shot,29.0,M
shot,38.0,M
shot,64.0,M
shot,42.0,M
shot,42.0,M
shot and Tasered,37.0,M
shot,46.0,M
shot and Tasered,25.0,M
shot,62.0,M
shot,36.0,M
shot,21.0,M
shot and Tasered,30.0,M
shot,53.0,M
shot,31.0,M
shot,22.0,M
shot,24.0,M
shot,36.0,M
shot,47.0,M
shot,54.0,M
shot,43.0,M
shot,38.0,M
shot,30.0,M
shot,51.0,M
shot,55.0,M
shot,16.0,M
shot,23.0,M
shot,36.0,M
shot,27.0,M
shot,33.0,M
shot,17.0,M
shot,22.0,M
shot,22.0,M
shot,29.0,M
shot,41.0,M
shot,67.0,M
shot,36.0,M
shot,52.0,M
shot,56.0,M
shot,35.0,M
shot,45.0,M
shot,30.0,M
shot,29.0,M
shot,53.0,M
shot,32.0,F
shot,22.0,M
shot and Tasered,29.0,M
shot,24.0,M
shot,19.0,M
shot,26.0,M
shot,50.0,M
shot,29.0,M
shot,52.0,M
shot,39.0,M
shot,51.0,M
shot,48.0,M
shot,30.0,M
shot,37.0,M
shot and Tasered,25.0,M
shot,30.0,M
shot,35.0,M
shot,32.0,M
shot,35.0,M
shot,31.0,M
shot,30.0,M
shot,23.0,M
shot,41.0,M
shot,45.0,M
shot,46.0,M
shot,36.0,F
shot,31.0,F
shot,32.0,M
shot,38.0,F
shot,33.0,M
shot,45.0,M
shot,38.0,M
shot,22.0,M
shot,48.0,M
shot,36.0,M
shot and Tasered,39.0,M
shot,26.0,M
shot,16.0,M
shot,58.0,M
shot,27.0,M
shot,26.0,M
shot,21.0,M
shot,37.0,M
shot,56.0,M
shot,19.0,M
shot,38.0,M
shot,18.0,M
shot,35.0,M
shot,23.0,M
shot,41.0,M
shot,44.0,M
shot,24.0,M
shot,39.0,M
shot,22.0,M
shot,37.0,M
shot,36.0,M
shot and Tasered,41.0,M
shot,27.0,M
shot,66.0,M
shot,30.0,M
shot,34.0,M
shot,22.0,M
shot,51.0,M
shot,42.0,M
shot,41.0,M
shot,49.0,M
shot,45.0,M
shot,45.0,M
shot,42.0,M
shot,41.0,M
shot,27.0,M
shot,37.0,M
shot,22.0,M
shot,21.0,M
shot,50.0,M
shot,23.0,M
shot,25.0,M
shot,51.0,M
shot,46.0,M
shot,23.0,M
shot and Tasered,37.0,M
shot and Tasered,20.0,M
shot,43.0,M
shot,45.0,M
shot,16.0,M
shot,30.0,M
shot,26.0,M
shot,24.0,M
shot,38.0,F
shot,28.0,M
shot,29.0,M
shot,34.0,M
shot,38.0,M
shot,43.0,M
shot,23.0,M
shot,33.0,M
shot,40.0,M
shot,38.0,M
shot,53.0,M
shot,29.0,M
shot,30.0,M
shot,49.0,M
shot,60.0,M
shot,25.0,F
shot,24.0,M
shot,21.0,M
shot,23.0,M
shot,61.0,M
shot,54.0,M
shot,62.0,M
shot,16.0,M
shot and Tasered,76.0,M
shot,25.0,M
shot,28.0,M
shot,25.0,M
shot,33.0,M
shot,51.0,M
shot,34.0,M
shot,30.0,M
shot,44.0,M
shot,24.0,M
shot,29.0,M
shot,48.0,M
shot,19.0,M
shot,22.0,M
shot,39.0,M
shot,36.0,M
shot,55.0,M
shot,46.0,M
shot,34.0,M
shot,27.0,F
shot,33.0,M
shot,18.0,M
shot,33.0,M
shot and Tasered,46.0,M
shot,51.0,M
shot,50.0,F
shot,33.0,M
shot,25.0,M
shot,52.0,M
shot,31.0,M
shot,18.0,M
shot,43.0,M
shot,34.0,M
shot,65.0,M
shot,37.0,M
shot,30.0,M
shot,48.0,M
shot,36.0,F
shot,25.0,M
shot,69.0,M
shot,50.0,M
shot,52.0,M
shot,44.0,M
shot,60.0,M
shot,40.0,F
shot and Tasered,20.0,M
shot,45.0,M
shot,44.0,M
shot,40.0,M
shot,25.0,F
shot,43.0,M
shot,27.0,M
shot,19.0,M
shot,39.0,M
shot,30.0,M
shot,28.0,M
shot,22.0,M
shot,16.0,M
shot,40.0,M
shot,38.0,M
shot,20.0,M
shot,35.0,M
shot,52.0,M
shot,26.0,M
shot and Tasered,54.0,M
shot,38.0,M
shot,52.0,M
shot,26.0,M
shot,53.0,M
shot,35.0,F
shot,22.0,M
shot,31.0,M
shot,32.0,M
shot,37.0,M
shot,28.0,M
shot,18.0,M
shot,41.0,M
shot,15.0,M
shot,38.0,M
shot,41.0,M
shot,52.0,M
shot,48.0,M
shot,29.0,M
shot,51.0,M
shot,21.0,M
shot,24.0,M
shot,18.0,M
shot,30.0,M
shot and Tasered,33.0,M
shot,60.0,F
shot,28.0,M
shot,26.0,M
shot,24.0,F
shot,44.0,M
shot,36.0,M
shot,34.0,M
shot,21.0,M
shot,37.0,M
shot,53.0,M
shot and Tasered,45.0,M
shot,24.0,M
shot,48.0,M
shot,42.0,M
shot,33.0,M
shot,55.0,M
shot,28.0,M
shot,25.0,M
shot,28.0,M
shot,52.0,M
shot,59.0,M
shot,52.0,M
shot,39.0,M
shot,18.0,M
shot,40.0,M
shot,36.0,M
shot,38.0,M
shot,26.0,F
shot,,M
shot,29.0,M
shot,37.0,M
shot and Tasered,29.0,M
shot,21.0,M
shot,33.0,M
shot,33.0,M
shot,23.0,M
shot,26.0,M
shot,59.0,M
shot,29.0,M
shot,28.0,M
shot,35.0,M
shot,33.0,M
shot,24.0,M
shot,,M
shot,28.0,M
shot,19.0,M
shot,43.0,M
shot,59.0,M
shot and Tasered,34.0,M
shot,35.0,M
shot,23.0,M
shot,36.0,M
shot,46.0,M
shot,44.0,M
shot,20.0,M
shot,30.0,M
shot,29.0,F
shot,35.0,M
shot,36.0,M
shot,22.0,M
shot,31.0,M
shot,63.0,M
shot,38.0,M
shot,31.0,M
shot,27.0,M
shot,35.0,M
shot,22.0,M
shot,28.0,M
shot,26.0,M
shot,22.0,M
shot,57.0,M
shot,31.0,M
shot,43.0,M
shot,24.0,M
shot,29.0,M
shot,43.0,M
shot,,M
shot,21.0,M
shot,19.0,M
shot,,F
shot,25.0,M
shot,59.0,M
shot,50.0,M
shot,58.0,M
shot,25.0,M
shot,32.0,M
shot,53.0,M
shot and Tasered,38.0,M
shot,70.0,M
shot,33.0,M
